"runtime","image_name","ressource_limit","number_of_targets","repeat","ram_usage","filepath"
"default","go-httpd","default","1","1","330","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_1/ram.txt"
"default","go-httpd","default","1","10","352","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_10/ram.txt"
"default","go-httpd","default","1","11","349","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_11/ram.txt"
"default","go-httpd","default","1","12","348","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_12/ram.txt"
"default","go-httpd","default","1","13","348","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_13/ram.txt"
"default","go-httpd","default","1","14","347","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_14/ram.txt"
"default","go-httpd","default","1","15","346","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_15/ram.txt"
"default","go-httpd","default","1","16","346","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_16/ram.txt"
"default","go-httpd","default","1","17","351","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_17/ram.txt"
"default","go-httpd","default","1","18","348","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_18/ram.txt"
"default","go-httpd","default","1","19","349","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_19/ram.txt"
"default","go-httpd","default","1","2","345","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_240s/default/default/go-httpd/target_count_1/repeat_2/ram.txt"
