"Unternehmen";"Website Unternehmen";"Adresse";"Tel.";"Fax";"Mail";"Quelle"
"Unternehmen";"Website Unternehmen";"Adresse";"Tel.";"Fax";"Mail";"Quelle"
"Unternehmen";"Website Unternehmen";"Adresse";"Tel.";"Fax";"Mail";"Quelle"
"Unternehmen";"Website Unternehmen";"Adresse";"Tel.";"Fax";"Mail";"Quelle"
"name";"pull_count";"star_count"
"busybox";2147483647;1764
"nginx";2147483647;12479
"alpine";1985275596;5995
"postgres";1914640839;7392
"ubuntu";1727297545;10354
"httpd";1688843105;2809
"redis";1606250255;7714
"mongo";1482399513;6493
"node";1420214207;8289
"traefik";1409298412;1223
"mysql";1350045799;9021
"mariadb";1088394028;3186
"memcached";1053613635;1461
"hello-world";961732566;1105
"registry";934454476;2815
"docker";915147264;1244
"golang";749038400;2996
"python";659606382;4845
"centos";643535496;5770
"openjdk";603586536;2068
"consul";583583177;1010
"rabbitmq";567868951;2973
"php";477688277;4991
"wordpress";451456765;3315
"haproxy";431431806;1339
"influxdb";392679811;898
"nextcloud";350568790;1236
"debian";347587493;3324
"ruby";346200777;1814
"elasticsearch";345204485;4089
"tomcat";242773609;2608
"maven";218687744;971
"telegraf";200236164;329
"eclipse-mosquitto";162503115;447
"sonarqube";153388356;1392
"amazonlinux";140280199;757
"ghost";136457214;1085
"logstash";133707778;1552
"kong";132304449;418
"vault";118464760;593
"java";109901877;1976
"jenkins";105558236;4601
"adminer";100650445;329
"perl";92213351;294
"cassandra";90846536;1076
"drupal";86531883;711
"buildpack-deps";82808374;507
"kibana";75002031;1687
"gradle";74497022;256
"swarm";70711700;1033
"zookeeper";70308091;774
"chronograf";69398529;185
"nats";66177069;261
"neo4j";65221886;747
"bash";63977780;226
"sentry";63307264;535
"percona";60106203;465
"couchbase";59875400;520
"solr";59193635;724
"fedora";58820811;844
"couchdb";58044015;318
"rethinkdb";53707650;529
"rocket.chat";50409905;488
"groovy";49711329;82
"flink";48858191;139
"joomla";44210094;255
"owncloud";44183415;1116
"nats-streaming";43636863;82
"teamspeak";43210185;169
"mongo-express";42942650;590
"jruby";39777319;90
"redmine";32273122;830
"erlang";29572814;263
"matomo";28589752;104
"kapacitor";26667292;151
"mono";25332846;372
"jetty";23636030;321
"pypy";23418100;226
"elixir";20100152;381
"composer";20079648;490
"xwiki";17677440;137
"django";16802986;911
"piwik";16664387;161
"arangodb";16660089;175
"mediawiki";16594226;198
"websphere-liberty";16461528;251
"iojs";16269723;133
"rust";16096983;275
"znc";15474685;59
"haxe";15079464;28
"oraclelinux";13661485;625
"crate";13646509;141
"clojure";12231397;275
"tomee";12230124;73
"gcc";12047759;468
"swift";11769781;386
"odoo";11002281;736
"ros";10632210;304
"ibmjava";10343418;74
"orientdb";9943875;125
"opensuse";9239715;270
"ubuntu-debootstrap";8708726;41
"aerospike";8515664;99
"rails";8057817;840
"neurodebian";7828511;63
"hylang";6939229;24
"irssi";6330008;120
"julia";6115604;165
"open-liberty";5773250;25
"yourls";5664874;39
"backdrop";5139503;39
"photon";4520550;91
"notary";4353878;30
"adoptopenjdk";4263071;95
"r-base";3663203;331
"plone";3562040;31
"cirros";3421181;58
"gazebo";3391226;70
"nuxeo";3326133;55
"amazoncorretto";3148670;77
"storm";3116144;115
"bonita";3073603;104
"php-zendserver";2999859;176
"lightstreamer";2810586;39
"geonetwork";2730649;34
"convertigo";2711932;14
"celery";2669455;256
"haskell";2617477;338
"docker-dev";2440325;86
"fsharp";2227428;49
"eggdrop";2215445;30
"spiped";2164493;27
"rapidoid";2152211;13
"swipl";2136926;18
"rakudo-star";1883781;36
"thrift";1708633;102
"hello-seattle";1648697;3
"fluentd";1517757;34
"ubuntu-upstart";1450554;102
"kaazing-gateway";1267284;56
"mageia";1175024;27
"glassfish";1125957;127
"clearlinux";1109956;67
"hola-mundo";1106380;2
"express-gateway";1044731;20
"postfixadmin";947625;31
"varnish";886811;22
"silverpeas";790076;12
"known";690995;18
"crux";666666;26
"sourcemage";521582;11
"euleros";408477;12
"sl";406024;11
"hipache";374766;78
"clefos";362005;7
"alt";294578;6
"scratch";266455;604
"archlinux";245669;27
"sapmachine";159894;7
"cheers";158638;4
"jobber";91398;5
"friendica";8904;0
