runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
default,go-httpd,default,1,"5,91","418,4","0,4","416,71","420,09","100,0"
default,go-httpd,default,2,"5,89","472,83","0,36","471,15","474,51","100,0"
default,go-httpd,default,3,"8,18","531,06","0,44","528,72","533,39","100,0"
default,go-httpd,default,5,"17,5","670,03","0,75","665,03","675,03","100,0"
default,go-httpd,default,8,"45,18","988,86","1,31","975,94","1001,77","100,0"
default,go-httpd,default,13,"104,37","1702,91","1,75","1673,08","1732,75","100,0"
default,go-httpd,default,21,"226,93","3202,74","2,03","3137,88","3267,6","100,0"
default,go-httpd,max,1,"2,88","295,6","0,28","294,78","296,42","100,0"
default,go-httpd,max,2,"7,12","356,63","0,57","354,59","358,66","100,0"
default,go-httpd,max,3,"8,67","420,4","0,59","417,92","422,88","100,0"
default,go-httpd,max,5,"19,65","568,06","0,99","562,44","573,67","100,0"
default,go-httpd,max,8,"41,55","883,0","1,34","871,12","894,88","100,0"
default,go-httpd,max,13,"106,15","1609,54","1,88","1579,2","1639,88","100,0"
default,go-httpd,max,21,"251,87","3253,29","2,21","3181,3","3325,27","100,0"
default,go-httpd,min,1,"8,27","285,2","0,83","282,84","287,56","100,0"
default,go-httpd,min,2,"7,71","342,71","0,64","340,51","344,92","100,0"
default,go-httpd,min,3,"9,18","415,34","0,63","412,72","417,97","100,0"
default,go-httpd,min,5,"19,22","565,54","0,97","560,05","571,04","100,0"
default,go-httpd,min,8,"40,45","869,86","1,33","858,3","881,42","100,0"
default,go-httpd,min,13,"102,8","1588,03","1,85","1558,65","1617,41","100,0"
default,go-httpd,min,21,"247,77","3190,37","2,22","3119,56","3261,19","100,0"
default,httpd,default,1,"9,63","317,86","0,87","315,1","320,61","100,0"
default,httpd,default,2,"9,02","410,77","0,63","408,19","413,35","100,0"
default,httpd,default,3,"14,78","506,37","0,83","502,15","510,59","100,0"
default,httpd,default,5,"28,28","710,97","1,14","702,89","719,06","100,0"
default,httpd,default,8,"56,05","1106,69","1,45","1090,67","1122,71","100,0"
default,httpd,default,13,"106,35","1950,54","1,56","1920,15","1980,94","100,0"
default,httpd,default,21,"269,3","3910,66","1,97","3833,69","3987,63","100,0"
default,httpd,max,1,"37,72","704,43","1,53","693,65","715,21","100,0"
default,httpd,max,2,"15,86","711,03","0,64","706,49","715,56","100,0"
default,httpd,max,3,"12,33","758,49","0,46","754,96","762,01","100,0"
default,httpd,max,5,"26,4","950,94","0,79","943,4","958,49","100,0"
default,httpd,max,8,"48,66","1330,86","1,05","1316,95","1344,77","100,0"
default,httpd,max,13,"99,44","2084,4","1,36","2055,98","2112,82","100,0"
default,httpd,max,21,"275,61","4056,54","1,94","3977,77","4135,32","100,0"
default,httpd,min,1,"8,93","309,49","0,82","306,93","312,04","100,0"
default,httpd,min,2,"13,52","391,69","0,99","387,82","395,55","100,0"
default,httpd,min,3,"17,38","496,43","1,0","491,46","501,39","100,0"
default,httpd,min,5,"24,54","711,06","0,99","704,04","718,07","100,0"
default,httpd,min,8,"50,06","1114,2","1,28","1099,89","1128,51","100,0"
default,httpd,min,13,"111,78","1951,23","1,64","1919,28","1983,18","100,0"
default,httpd,min,21,"241,9","3887,43","1,78","3818,29","3956,57","100,0"
default,nginx,default,1,"689,98","2245,37","8,78","2048,16","2442,58","100,0"
default,nginx,default,2,"33,94","1664,77","0,58","1655,07","1674,47","100,0"
default,nginx,default,3,"19,18","1617,34","0,34","1611,86","1622,82","100,0"
default,nginx,default,5,"11,6","1667,94","0,2","1664,63","1671,26","100,0"
default,nginx,default,8,"33,56","1829,37","0,52","1819,78","1838,96","100,0"
default,nginx,default,13,"69,29","2260,26","0,88","2240,45","2280,06","100,0"
default,nginx,default,21,"167,93","3295,71","1,46","3247,72","3343,71","100,0"
default,nginx,max,1,"707,88","2089,77","9,68","1887,45","2292,09","100,0"
default,nginx,max,2,"21,28","1566,2","0,39","1560,12","1572,28","100,0"
default,nginx,max,3,"10,65","1553,29","0,2","1550,24","1556,33","100,0"
default,nginx,max,5,"25,27","1650,63","0,44","1643,4","1657,85","100,0"
default,nginx,max,8,"28,56","1789,29","0,46","1781,12","1797,45","100,0"
default,nginx,max,13,"74,31","2250,26","0,94","2229,02","2271,5","100,0"
default,nginx,max,21,"180,44","3370,51","1,53","3318,94","3422,09","100,0"
default,nginx,min,1,"728,54","2135,06","9,75","1926,83","2343,29","100,0"
default,nginx,min,2,"23,54","1506,69","0,45","1499,96","1513,41","100,0"
default,nginx,min,3,"12,77","1495,86","0,24","1492,21","1499,51","100,0"
default,nginx,min,5,"29,24","1588,6","0,53","1580,24","1596,96","100,0"
default,nginx,min,8,"28,01","1727,97","0,46","1719,97","1735,98","100,0"
default,nginx,min,13,"71,53","2173,43","0,94","2152,98","2193,87","100,0"
default,nginx,min,21,"172,46","3239,06","1,52","3189,76","3288,35","100,0"
default,python-tornado,default,1,"584,96","2035,66","8,21","1868,47","2202,85","100,0"
default,python-tornado,default,2,"29,83","1537,09","0,55","1528,56","1545,61","100,0"
default,python-tornado,default,3,"19,03","1527,03","0,36","1521,59","1532,47","100,0"
default,python-tornado,default,5,"31,45","1654,77","0,54","1645,78","1663,76","100,0"
default,python-tornado,default,8,"44,2","1921,2","0,66","1908,57","1933,83","100,0"
default,python-tornado,default,13,"86,56","2506,86","0,99","2482,12","2531,6","100,0"
default,python-tornado,default,21,"164,45","3679,74","1,28","3632,74","3726,75","100,0"
default,python-tornado,max,1,"637,73","1978,03","9,21","1795,76","2160,3","100,0"
default,python-tornado,max,2,"22,37","1469,86","0,43","1463,46","1476,25","100,0"
default,python-tornado,max,3,"12,9","1479,91","0,25","1476,23","1483,6","100,0"
default,python-tornado,max,5,"24,62","1629,11","0,43","1622,08","1636,15","100,0"
default,python-tornado,max,8,"40,91","1908,49","0,61","1896,79","1920,18","100,0"
default,python-tornado,max,13,"81,69","2477,34","0,94","2454,0","2500,69","100,0"
default,python-tornado,max,21,"167,41","3670,77","1,3","3622,92","3718,62","100,0"
default,python-tornado,min,1,"611,72","1807,57","9,67","1632,73","1982,41","100,0"
default,python-tornado,min,2,"20,89","1374,71","0,43","1368,74","1380,69","100,0"
default,python-tornado,min,3,"8,26","1390,11","0,17","1387,75","1392,48","100,0"
default,python-tornado,min,5,"33,08","1550,49","0,61","1541,03","1559,94","100,0"
default,python-tornado,min,8,"41,86","1831,06","0,65","1819,09","1843,02","100,0"
default,python-tornado,min,13,"78,87","2403,4","0,94","2380,86","2425,94","100,0"
default,python-tornado,min,21,"177,05","3611,29","1,4","3560,68","3661,89","100,0"
default,tomcat,default,1,"568,47","2117,37","7,67","1954,9","2279,85","100,0"
default,tomcat,default,2,"43,3","1801,97","0,69","1789,6","1814,35","100,0"
default,tomcat,default,3,"29,96","1923,4","0,45","1914,84","1931,96","100,0"
default,tomcat,default,5,"41,13","2349,09","0,5","2337,33","2360,84","100,0"
default,tomcat,default,8,"69,82","3080,97","0,65","3061,02","3100,93","100,0"
default,tomcat,default,13,"137,07","4435,94","0,88","4396,77","4475,12","100,0"
