"ab_duration","runtime","image_name","ressource_limit","number_of_targets","targetId","repeat","completed_requests","failed_requests","requests_per_second","request_duration","filepath"
"10","default","go-httpd","default","1","1","1","202534","0","20250.99","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_1/1.txt"
"10","default","go-httpd","default","1","1","10","217018","0","21701.58","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_10/1.txt"
"10","default","go-httpd","default","1","1","11","218870","0","21884.52","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_11/1.txt"
"10","default","go-httpd","default","1","1","12","217634","0","21763.30","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_12/1.txt"
"10","default","go-httpd","default","1","1","13","217051","0","21704.65","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_13/1.txt"
"10","default","go-httpd","default","1","1","14","215846","0","21583.72","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_14/1.txt"
"10","default","go-httpd","default","1","1","15","213182","0","21316.25","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_15/1.txt"
"10","default","go-httpd","default","1","1","16","213662","0","21364.20","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_16/1.txt"
"10","default","go-httpd","default","1","1","17","218508","0","21850.71","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_17/1.txt"
"10","default","go-httpd","default","1","1","18","207598","0","20757.66","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_18/1.txt"
"10","default","go-httpd","default","1","1","19","212807","0","21275.40","10.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_19/1.txt"
"10","default","go-httpd","default","1","1","2","219878","0","21986.93","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_2/1.txt"
"10","default","go-httpd","default","1","1","20","214299","0","21429.44","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_20/1.txt"
"10","default","go-httpd","default","1","1","21","217271","0","21723.73","10.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_21/1.txt"
"10","default","go-httpd","default","1","1","22","215805","0","21578.39","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_22/1.txt"
"10","default","go-httpd","default","1","1","23","220038","0","22001.25","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_23/1.txt"
"10","default","go-httpd","default","1","1","24","216275","0","21626.07","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_24/1.txt"
"10","default","go-httpd","default","1","1","25","213251","0","21321.12","10.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_25/1.txt"
"10","default","go-httpd","default","1","1","26","209504","0","20948.15","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_26/1.txt"
"10","default","go-httpd","default","1","1","27","209625","0","20961.61","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_27/1.txt"
"10","default","go-httpd","default","1","1","28","215548","0","21552.89","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_28/1.txt"
"10","default","go-httpd","default","1","1","29","205933","0","20591.71","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_29/1.txt"
