runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
default,go-httpd,default,1,258.65,21012.2,0.35,20938.28,21086.13,100.0
default,go-httpd,default,2,87.97,26793.03,0.09,26767.88,26818.17,100.0
default,go-httpd,default,3,91.72,26138.46,0.1,26112.24,26164.67,100.0
default,go-httpd,default,5,114.18,25828.78,0.13,25796.14,25861.41,100.0
default,go-httpd,default,8,142.17,27089.24,0.15,27048.6,27129.87,100.0
default,go-httpd,default,13,192.75,28854.87,0.19,28799.78,28909.96,100.0
default,go-httpd,default,21,239.73,31766.87,0.22,31698.35,31835.39,100.0
default,go-httpd,max,1,203.79,21816.45,0.27,21758.2,21874.7,100.0
default,go-httpd,max,2,138.49,27374.09,0.14,27334.51,27413.68,100.0
default,go-httpd,max,3,105.79,26769.06,0.11,26738.82,26799.29,100.0
default,go-httpd,max,5,147.02,26503.3,0.16,26461.28,26545.32,100.0
default,go-httpd,max,8,176.57,27535.8,0.18,27485.33,27586.26,100.0
default,go-httpd,max,13,210.68,29118.12,0.21,29057.9,29178.33,100.0
default,go-httpd,max,21,211.75,32006.82,0.19,31946.3,32067.34,100.0
default,go-httpd,min,1,137.86,2691.59,1.46,2652.19,2731.0,100.0
default,go-httpd,min,2,879.5,17759.8,1.42,17508.43,18011.17,100.0
default,go-httpd,min,3,130.65,25114.08,0.15,25076.74,25151.42,100.0
default,go-httpd,min,5,90.49,24937.61,0.1,24911.75,24963.48,100.0
default,go-httpd,min,8,134.25,26173.42,0.15,26135.05,26211.79,100.0
default,go-httpd,min,13,189.62,27851.2,0.19,27797.0,27905.39,100.0
default,go-httpd,min,21,202.66,30868.6,0.19,30810.68,30926.53,100.0
default,httpd,default,1,226.84,21596.64,0.3,21531.81,21661.48,100.0
default,httpd,default,2,294.73,26648.15,0.32,26563.91,26732.39,100.0
default,httpd,default,3,127.68,24465.02,0.15,24428.53,24501.52,100.0
default,httpd,default,5,201.75,24370.08,0.24,24312.42,24427.75,100.0
default,httpd,default,8,186.57,25348.76,0.21,25295.44,25402.08,100.0
default,httpd,default,13,198.84,26704.64,0.21,26647.81,26761.47,100.0
default,httpd,default,21,243.43,29130.58,0.24,29061.01,29200.16,100.0
default,httpd,max,1,284.81,21553.04,0.38,21471.64,21634.44,100.0
default,httpd,max,2,354.26,26519.4,0.38,26418.15,26620.65,100.0
default,httpd,max,3,149.37,24333.32,0.18,24290.63,24376.01,100.0
default,httpd,max,5,153.76,24241.95,0.18,24198.0,24285.9,100.0
default,httpd,max,8,179.66,25135.94,0.2,25084.59,25187.29,100.0
default,httpd,max,13,180.86,26509.37,0.19,26457.68,26561.06,100.0
default,httpd,max,21,178.24,29042.44,0.18,28991.5,29093.38,100.0
default,httpd,min,1,14.12,1434.39,0.28,1430.35,1438.43,100.0
default,httpd,min,2,24.16,3298.8,0.21,3291.9,3305.71,100.0
default,httpd,min,3,255.75,5235.93,1.4,5162.83,5309.02,100.0
default,httpd,min,5,211.46,21341.33,0.28,21280.89,21401.77,100.0
default,httpd,min,8,172.34,22409.72,0.22,22360.47,22458.98,100.0
default,httpd,min,13,155.85,23957.67,0.19,23913.12,24002.21,100.0
default,httpd,min,21,211.73,26733.75,0.23,26673.23,26794.26,100.0
default,nginx,default,1,1248.84,18331.15,1.95,17974.22,18688.09,100.0
default,nginx,default,2,79.68,23494.21,0.1,23471.44,23516.99,100.0
