"runtime","image_name","ressource_limit","repeat","real_time","user_time","sys_time","filepath"
"default","alpine","default","1","1.232","0.106","0.014","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/alpine/repeat_1/time.txt"
"default","busybox","default","1","0.794","0.098","0.015","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/busybox/repeat_1/time.txt"
"default","go-httpd","default","1","1.787","0.085","0.010","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/go-httpd/repeat_1/time.txt"
"default","httpd","default","1","1.233","0.102","0.010","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/httpd/repeat_1/time.txt"
"default","mongo","default","1","1.271","0.107","0.010","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/mongo/repeat_1/time.txt"
"default","nginx","default","1","1.293","0.097","0.004","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/nginx/repeat_1/time.txt"
"default","node-express","default","1","0.801","0.096","0.019","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/node-express/repeat_1/time.txt"
"default","postgres","default","1","1.212","0.081","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/postgres/repeat_1/time.txt"
"default","python-tornado","default","1","0.740","0.085","0.017","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/python-tornado/repeat_1/time.txt"
"default","redis-test","default","1","1.844","0.091","0.032","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/redis-test/repeat_1/time.txt"
"default","tomcat","default","1","2.235","0.107","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/tomcat/repeat_1/time.txt"
"default","traefik","default","1","0.760","0.089","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/traefik/repeat_1/time.txt"
"default","ubuntu","default","1","0.788","0.096","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/default/default/ubuntu/repeat_1/time.txt"
"runnc","go-httpd","default","1","1.115","0.091","0.011","/opt/auswertung/Raw/bench_time_vagrant_results/default/runnc/go-httpd/repeat_1/time.txt"
"runnc","node-express","default","1","1.198","0.099","0.016","/opt/auswertung/Raw/bench_time_vagrant_results/default/runnc/node-express/repeat_1/time.txt"
"runnc","python-tornado","default","1","1.485","0.082","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/default/runnc/python-tornado/repeat_1/time.txt"
"runnc","redis-test","default","1","0.626","0.082","0.017","/opt/auswertung/Raw/bench_time_vagrant_results/default/runnc/redis-test/repeat_1/time.txt"
"runsc","alpine","default","1","1.225","0.104","0.011","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/alpine/repeat_1/time.txt"
"runsc","busybox","default","1","1.680","0.088","0.013","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/busybox/repeat_1/time.txt"
"runsc","go-httpd","default","1","1.327","0.090","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/go-httpd/repeat_1/time.txt"
"runsc","httpd","default","1","1.213","0.095","0.004","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/httpd/repeat_1/time.txt"
"runsc","mongo","default","1","1.021","0.360","0.127","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/mongo/repeat_1/time.txt"
"runsc","nginx","default","1","1.706","0.082","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/nginx/repeat_1/time.txt"
"runsc","node-express","default","1","1.493","0.095","0.015","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/node-express/repeat_1/time.txt"
"runsc","postgres","default","1","0.721","0.083","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/postgres/repeat_1/time.txt"
"runsc","python-tornado","default","1","1.422","0.100","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/python-tornado/repeat_1/time.txt"
"runsc","redis-test","default","1","0.768","0.095","0.008","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/redis-test/repeat_1/time.txt"
"runsc","tomcat","default","1","2.236","0.106","0.015","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/tomcat/repeat_1/time.txt"
"runsc","traefik","default","1","0.704","0.093","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/traefik/repeat_1/time.txt"
"runsc","ubuntu","default","1","1.137","0.093","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/default/runsc/ubuntu/repeat_1/time.txt"
"runnc","go-httpd","max","1","0.896","0.092","0.016","/opt/auswertung/Raw/bench_time_vagrant_results/max/runnc/go-httpd/repeat_1/time.txt"
"runnc","node-express","max","1","2.313","0.091","0.014","/opt/auswertung/Raw/bench_time_vagrant_results/max/runnc/node-express/repeat_1/time.txt"
"runnc","python-tornado","max","1","1.734","0.097","0.004","/opt/auswertung/Raw/bench_time_vagrant_results/max/runnc/python-tornado/repeat_1/time.txt"
"runnc","redis-test","max","1","1.189","0.099","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/max/runnc/redis-test/repeat_1/time.txt"
"runsc","alpine","max","1","1.371","0.089","0.012","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/alpine/repeat_1/time.txt"
"runsc","busybox","max","1","0.726","0.097","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/busybox/repeat_1/time.txt"
"runsc","go-httpd","max","1","2.092","0.093","0.010","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/go-httpd/repeat_1/time.txt"
"runsc","httpd","max","1","0.862","0.076","0.021","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/httpd/repeat_1/time.txt"
"runsc","mongo","max","1","0.835","0.087","0.016","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/mongo/repeat_1/time.txt"
"runsc","nginx","max","1","1.252","0.114","0.014","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/nginx/repeat_1/time.txt"
"runsc","node-express","max","1","0.864","0.094","0.004","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/node-express/repeat_1/time.txt"
"runsc","postgres","max","1","1.230","0.067","0.029","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/postgres/repeat_1/time.txt"
"runsc","python-tornado","max","1","1.777","0.089","0.014","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/python-tornado/repeat_1/time.txt"
"runsc","redis-test","max","1","0.796","0.080","0.020","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/redis-test/repeat_1/time.txt"
"runsc","tomcat","max","1","0.864","0.099","0.000","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/tomcat/repeat_1/time.txt"
"runsc","traefik","max","1","0.779","0.096","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/traefik/repeat_1/time.txt"
"runsc","ubuntu","max","1","1.244","0.093","0.008","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/ubuntu/repeat_1/time.txt"
