runtime,ressource_limit,send_std,send_mean,send_abweichung_in_prozent,send_konf_intervall_unten,send_konf_intervall_oben,send_docker_abweichung,typ,re_std,re_mean,re_abweichung_in_prozent,re_konf_intervall_unten,re_konf_intervall_oben,re_docker_abweichung
default,default,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
default,max,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
default,min,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
kata,default,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
kata,max,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
kata,min,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
katafc,default,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
katafc,max,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
katafc,min,"0,0","0,99","0,0","0,99","0,99","100,0",udp,,,,,,
default,default,"0,34","900,07","0,01","899,98","900,17","100,0",tcp,"0,32","899,82","0,01","899,73","899,91","100,0"
default,max,"0,39","900,09","0,01","899,98","900,2","100,0",tcp,"0,19","899,85","0,01","899,8","899,91","100,0"
default,min,"0,31","900,0","0,01","899,91","900,09","100,0",tcp,"0,28","899,81","0,01","899,73","899,89","100,0"
kata,default,"1,25","899,0","0,04","898,64","899,36","99,88",tcp,"1,78","898,42","0,06","897,91","898,93","99,84"
kata,max,"1,41","898,99","0,04","898,59","899,4","99,88",tcp,"1,91","898,52","0,06","897,97","899,06","99,85"
kata,min,"0,89","899,25","0,03","898,99","899,5","99,92",tcp,"1,29","898,74","0,04","898,37","899,11","99,88"
katafc,default,"4,83","893,65","0,15","892,27","895,03","99,29",tcp,"5,4","892,63","0,17","891,08","894,17","99,2"
katafc,max,"4,71","894,92","0,15","893,58","896,27","99,43",tcp,"5,2","893,96","0,17","892,48","895,45","99,35"
katafc,min,"3,3","895,06","0,11","894,12","896,01","99,45",tcp,"3,72","893,99","0,12","892,92","895,05","99,35"
runsc,default,"0,66","899,2","0,02","899,01","899,39","99,9",tcp,"1,13","898,94","0,04","898,62","899,27","99,9"
runsc,max,"1,41","898,95","0,04","898,55","899,35","99,87",tcp,"1,47","898,85","0,05","898,43","899,27","99,89"
runsc,min,"50,57","335,23","4,31","320,78","349,69","37,25",tcp,"50,62","333,47","4,34","319,0","347,94","37,06"
