"runtime","image_name","ressource_limit","repeat","duration","type","send","received","filepath"
"default","iperf","default","1","10","tcp","944190000.0","943633000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_1/iperf_tcp.txt"
"default","iperf","default","1","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_1/iperf_udp.txt"
"default","iperf","default","10","10","tcp","943644000.0","943562000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_10/iperf_tcp.txt"
"default","iperf","default","10","10","udp","1042010.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_10/iperf_udp.txt"
"default","iperf","default","11","10","tcp","943602000.0","943598000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_11/iperf_tcp.txt"
"default","iperf","default","11","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_11/iperf_udp.txt"
"default","iperf","default","12","10","tcp","943345000.0","943343000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_12/iperf_tcp.txt"
"default","iperf","default","12","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_12/iperf_udp.txt"
"default","iperf","default","13","10","tcp","943927000.0","943798000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_13/iperf_tcp.txt"
"default","iperf","default","13","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_13/iperf_udp.txt"
"default","iperf","default","14","10","tcp","943277000.0","941896000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_14/iperf_tcp.txt"
"default","iperf","default","14","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_14/iperf_udp.txt"
"default","iperf","default","15","10","tcp","944295000.0","943788000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_15/iperf_tcp.txt"
"default","iperf","default","15","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_15/iperf_udp.txt"
"default","iperf","default","16","10","tcp","943331000.0","943327000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_16/iperf_tcp.txt"
"default","iperf","default","16","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_16/iperf_udp.txt"
"default","iperf","default","17","10","tcp","944201000.0","943755000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_17/iperf_tcp.txt"
"default","iperf","default","17","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_17/iperf_udp.txt"
"default","iperf","default","18","10","tcp","944123000.0","943824000.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_18/iperf_tcp.txt"
"default","iperf","default","18","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_dauer/default/default/iperf/10/repeat_18/iperf_udp.txt"
