"runtime","image_name","ressource_limit","repeat","duration","type","send","received","filepath"
"default","iperf","default","1","10","tcp","944238000.0","943841000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_1/iperf_tcp.txt"
"default","iperf","default","1","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_1/iperf_udp.txt"
"default","iperf","default","10","10","tcp","943423000.0","943421000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_10/iperf_tcp.txt"
"default","iperf","default","10","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_10/iperf_udp.txt"
"default","iperf","default","11","10","tcp","943313000.0","943311000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_11/iperf_tcp.txt"
"default","iperf","default","11","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_11/iperf_udp.txt"
"default","iperf","default","12","10","tcp","943678000.0","943545000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_12/iperf_tcp.txt"
"default","iperf","default","12","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_12/iperf_udp.txt"
"default","iperf","default","13","10","tcp","943684000.0","943493000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_13/iperf_tcp.txt"
"default","iperf","default","13","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_13/iperf_udp.txt"
"default","iperf","default","14","10","tcp","943694000.0","943690000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_14/iperf_tcp.txt"
"default","iperf","default","14","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_14/iperf_udp.txt"
"default","iperf","default","15","10","tcp","944198000.0","943539000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_15/iperf_tcp.txt"
"default","iperf","default","15","10","udp","1042000.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_15/iperf_udp.txt"
"default","iperf","default","16","10","tcp","943828000.0","943588000.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_16/iperf_tcp.txt"
"default","iperf","default","16","10","udp","1041990.0","-1.0","/opt/auswertung/Raw/bench_iperf_repeat35/default/default/iperf/10/repeat_16/iperf_udp.txt"
