"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"default","linpack","default","1","4.6923e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_1/linpack.txt"
"default","linpack","default","10","4.6900e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_10/linpack.txt"
"default","linpack","default","11","4.6870e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_11/linpack.txt"
"default","linpack","default","12","4.6979e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_12/linpack.txt"
"default","linpack","default","13","4.6868e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_13/linpack.txt"
"default","linpack","default","14","4.6896e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_14/linpack.txt"
"default","linpack","default","15","4.7021e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_15/linpack.txt"
"default","linpack","default","16","4.6961e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_16/linpack.txt"
"default","linpack","default","17","4.6909e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_17/linpack.txt"
"default","linpack","default","18","4.7113e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_18/linpack.txt"
"default","linpack","default","19","4.7032e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_19/linpack.txt"
"default","linpack","default","2","4.7194e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_2/linpack.txt"
"default","linpack","default","20","4.7002e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_20/linpack.txt"
"default","linpack","default","21","4.7023e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_21/linpack.txt"
"default","linpack","default","22","4.6974e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_22/linpack.txt"
"default","linpack","default","23","4.7072e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_23/linpack.txt"
"default","linpack","default","24","4.6984e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_24/linpack.txt"
"default","linpack","default","25","4.7036e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_25/linpack.txt"
"default","linpack","default","26","4.6921e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_26/linpack.txt"
"default","linpack","default","27","4.6966e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_27/linpack.txt"
"default","linpack","default","28","4.6863e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_28/linpack.txt"
"default","linpack","default","29","4.6917e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_29/linpack.txt"
"default","linpack","default","3","4.6973e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_3/linpack.txt"
"default","linpack","default","30","4.6992e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_30/linpack.txt"
"default","linpack","default","31","4.6892e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_31/linpack.txt"
"default","linpack","default","32","4.6903e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_32/linpack.txt"
"default","linpack","default","33","4.6882e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_33/linpack.txt"
"default","linpack","default","34","4.6938e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_34/linpack.txt"
"default","linpack","default","35","4.7094e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_35/linpack.txt"
"default","linpack","default","4","4.6926e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_4/linpack.txt"
"default","linpack","default","5","4.6890e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_5/linpack.txt"
"default","linpack","default","6","4.6985e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_6/linpack.txt"
"default","linpack","default","7","4.7002e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_7/linpack.txt"
"default","linpack","default","8","4.6905e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_8/linpack.txt"
"default","linpack","default","9","4.6980e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/default/linpack/repeat_9/linpack.txt"
"kata","linpack","default","1","1.2185e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_1/linpack.txt"
"kata","linpack","default","10","1.2199e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_10/linpack.txt"
"kata","linpack","default","11","1.2194e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_11/linpack.txt"
"kata","linpack","default","12","1.2191e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_12/linpack.txt"
"kata","linpack","default","13","1.2196e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_13/linpack.txt"
"kata","linpack","default","14","1.2191e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_14/linpack.txt"
"kata","linpack","default","15","1.2190e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_15/linpack.txt"
"kata","linpack","default","16","1.2176e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_16/linpack.txt"
"kata","linpack","default","17","1.2198e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_17/linpack.txt"
"kata","linpack","default","18","1.2218e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_18/linpack.txt"
