image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
alpine,default,default,"0,49","0,04","0,48","0,51","2,44",rm,"100,0"
alpine,default,max,"0,49","0,04","0,48","0,51","2,6",rm,"100,0"
alpine,default,min,"0,45","0,04","0,44","0,46","2,78",rm,"100,0"
alpine,kata,default,"0,69","0,08","0,67","0,72","3,47",rm,"140,14"
alpine,kata,max,"0,73","0,07","0,71","0,75","2,93",rm,"147,46"
alpine,kata,min,"0,64","0,04","0,63","0,65","1,98",rm,"141,62"
alpine,katafc,default,"0,64","0,17","0,59","0,68","7,7",rm,"128,67"
alpine,katafc,max,"0,75","0,14","0,71","0,79","5,36",rm,"151,96"
alpine,katafc,min,"0,8","0,04","0,79","0,82","1,52",rm,"177,95"
alpine,runsc,default,"0,49","0,05","0,48","0,5","2,73",rm,"99,33"
alpine,runsc,max,"0,51","0,07","0,49","0,53","3,69",rm,"103,29"
alpine,runsc,min,"0,44","0,05","0,43","0,46","3,19",rm,"98,03"
busybox,default,default,"0,49","0,05","0,47","0,51","3,19",rm,"100,0"
busybox,default,max,"0,48","0,05","0,46","0,49","2,71",rm,"100,0"
busybox,default,min,"0,43","0,04","0,42","0,45","2,79",rm,"100,0"
busybox,kata,default,"0,69","0,03","0,68","0,7","1,33",rm,"140,4"
busybox,kata,max,"0,73","0,03","0,72","0,73","1,28",rm,"152,1"
busybox,kata,min,"0,62","0,07","0,6","0,65","3,36",rm,"144,17"
busybox,katafc,default,"0,75","0,13","0,71","0,79","5,07",rm,"152,98"
busybox,katafc,max,"0,69","0,16","0,64","0,74","6,7",rm,"144,57"
busybox,katafc,min,"0,78","0,07","0,76","0,8","2,48",rm,"179,75"
busybox,runsc,default,"0,5","0,04","0,49","0,52","2,35",rm,"102,82"
busybox,runsc,max,"0,5","0,06","0,48","0,52","3,18",rm,"104,67"
busybox,runsc,min,"0,44","0,04","0,42","0,45","2,72",rm,"100,79"
go-httpd,default,default,"1,01","0,04","1,0","1,03","1,14",rm,"100,0"
go-httpd,default,max,"1,04","0,14","1,0","1,08","3,85",rm,"100,0"
go-httpd,default,min,"1,06","0,14","1,02","1,1","3,73",rm,"100,0"
go-httpd,kata,default,"1,38","0,26","1,3","1,45","5,33",rm,"135,98"
go-httpd,kata,max,"1,33","0,08","1,31","1,35","1,74",rm,"127,72"
