"runtime","image_name","ressource_limit","repeat","real_time","user_time","sys_time","filepath"
"default","alpine","default","1","0.754","0.059","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_1/create_time.txt"
"default","alpine","default","1","0.549","0.055","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_1/rm_time.txt"
"default","alpine","default","10","0.785","0.059","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_10/create_time.txt"
"default","alpine","default","10","0.519","0.048","0.004","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_10/rm_time.txt"
"default","alpine","default","11","0.738","0.051","0.008","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_11/create_time.txt"
"default","alpine","default","11","0.466","0.046","0.006","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_11/rm_time.txt"
"default","alpine","default","12","0.743","0.046","0.013","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_12/create_time.txt"
"default","alpine","default","12","0.538","0.052","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_12/rm_time.txt"
"default","alpine","default","13","0.831","0.055","0.004","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_13/create_time.txt"
"default","alpine","default","13","0.483","0.052","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_13/rm_time.txt"
"default","alpine","default","14","0.827","0.048","0.011","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_14/create_time.txt"
"default","alpine","default","14","0.512","0.048","0.006","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_14/rm_time.txt"
"default","alpine","default","15","0.819","0.060","0.000","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_15/create_time.txt"
"default","alpine","default","15","0.480","0.047","0.005","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_15/rm_time.txt"
"default","alpine","default","16","0.784","0.048","0.011","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_16/create_time.txt"
"default","alpine","default","16","0.530","0.049","0.005","/opt/auswertung/Raw/bench_time_repeat35/default/default/alpine/repeat_16/rm_time.txt"
